realtime_start,realtime_end,date,value
2025-02-06,2025-02-06,2018-01-01,1986.985
2025-02-06,2025-02-06,2018-04-01,2063.283
2025-02-06,2025-02-06,2018-07-01,2014.346
2025-02-06,2025-02-06,2018-10-01,2015.959
2025-02-06,2025-02-06,2019-01-01,2045.14
2025-02-06,2025-02-06,2019-04-01,2059.292
2025-02-06,2025-02-06,2019-07-01,2087.795
2025-02-06,2025-02-06,2019-10-01,2120.925
2025-02-06,2025-02-06,2020-01-01,2023.162
2025-02-06,2025-02-06,2020-04-01,1871.838
2025-02-06,2025-02-06,2020-07-01,2553.784
2025-02-06,2025-02-06,2020-10-01,2398.03
2025-02-06,2025-02-06,2021-01-01,2716.546
2025-02-06,2025-02-06,2021-04-01,2996.334
2025-02-06,2025-02-06,2021-07-01,2952.754
2025-02-06,2025-02-06,2021-10-01,2886.711
2025-02-06,2025-02-06,2022-01-01,2898.216
2025-02-06,2025-02-06,2022-04-01,3084.126
2025-02-06,2025-02-06,2022-07-01,2985.393
2025-02-06,2025-02-06,2022-10-01,2834.572
2025-02-06,2025-02-06,2023-01-01,2931.223
2025-02-06,2025-02-06,2023-04-01,2989.192
2025-02-06,2025-02-06,2023-07-01,3114.986
2025-02-06,2025-02-06,2023-10-01,3239.649
2025-02-06,2025-02-06,2024-01-01,3314.945
2025-02-06,2025-02-06,2024-04-01,3413.018
2025-02-06,2025-02-06,2024-07-01,3402.982
